id,sku,department,category,brand,name,variant,description,tags,icon,color,price,old_price,is_promo,stock,rating,reviews,image_filename,image_prompt
1,PS-001,obuwie,Buty do biegania,Nike,Air Zoom Pegasus 41,Czerń/Biel,Air Zoom Pegasus 41 — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"bieganie,amortyzacja,trening",shoe,#2D6CDF,499,,false,18,4.8,420,product_001.png,"Photorealistic e-commerce product photo of Nike Air Zoom Pegasus 41 (Czerń/Biel), category Buty do biegania. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_001.png."
2,PS-002,obuwie,Buty do biegania,Adidas,Adizero SL,Biel/Czerwień,Adizero SL — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"bieganie,lekkość,start",shoe,#2D6CDF,449,539,true,15,4.7,310,product_002.png,"Photorealistic e-commerce product photo of Adidas Adizero SL (Biel/Czerwień), category Buty do biegania. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_002.png."
3,PS-003,obuwie,Buty treningowe,Under Armour,TriBase Reign 6,Grafit/Limonka,TriBase Reign 6 — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"trening,siłownia,stabilizacja",shoe,#2D6CDF,399,,false,12,4.6,205,product_003.png,"Photorealistic e-commerce product photo of Under Armour TriBase Reign 6 (Grafit/Limonka), category Buty treningowe. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_003.png."
4,PS-004,obuwie,Buty do biegania,Asics,Gel-Nimbus 26,Granat,Gel-Nimbus 26 — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"bieganie,komfort,amortyzacja",shoe,#2D6CDF,699,,false,9,4.9,270,product_004.png,"Photorealistic e-commerce product photo of Asics Gel-Nimbus 26 (Granat), category Buty do biegania. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_004.png."
5,PS-005,obuwie,Buty trailowe,Salomon,Speedcross 6,Czerń,Speedcross 6 — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"trail,góry,przyczepność",shoe,#2D6CDF,599,689,true,11,4.8,335,product_005.png,"Photorealistic e-commerce product photo of Salomon Speedcross 6 (Czerń), category Buty trailowe. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_005.png."
6,PS-006,obuwie,Sneakersy,New Balance,574 Core,Szary,574 Core — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"lifestyle,sneakers,na co dzień",shoe,#2D6CDF,379,,false,21,4.7,510,product_006.png,"Photorealistic e-commerce product photo of New Balance 574 Core (Szary), category Sneakersy. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_006.png."
7,PS-007,obuwie,Korki piłkarskie,Adidas,Predator Elite FG,Biel/Czerwień,Predator Elite FG — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"piłka nożna,korki,boisko",shoe,#2D6CDF,799,,false,8,4.8,188,product_007.png,"Photorealistic e-commerce product photo of Adidas Predator Elite FG (Biel/Czerwień), category Korki piłkarskie. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_007.png."
8,PS-008,obuwie,Korki piłkarskie,Nike,Mercurial Vapor 16 FG,Volt,Mercurial Vapor 16 FG — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"piłka nożna,szybkość,korki",shoe,#2D6CDF,849,,false,7,4.7,222,product_008.png,"Photorealistic e-commerce product photo of Nike Mercurial Vapor 16 FG (Volt), category Korki piłkarskie. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_008.png."
9,PS-009,obuwie,Buty treningowe,Reebok,Nano X4,Czerń,Nano X4 — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"crossfit,trening,stabilizacja",shoe,#2D6CDF,499,,false,10,4.6,170,product_009.png,"Photorealistic e-commerce product photo of Reebok Nano X4 (Czerń), category Buty treningowe. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_009.png."
10,PS-010,obuwie,Buty do koszykówki,Under Armour,Curry 11,Royal Blue,Curry 11 — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"koszykówka,hala,przyczepność",shoe,#2D6CDF,649,,false,6,4.8,142,product_010.png,"Photorealistic e-commerce product photo of Under Armour Curry 11 (Royal Blue), category Buty do koszykówki. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_010.png."
